bote,"woven basket carried on the back by a strap,often around the forehead","agriculture - equipment,household"
kadeira roda,wheelchair,health - equipment
kondom,condom,health - equipment
ligadura,bandage,health - equipment
maka1,"stretcher,bed for examination and treatment of patients",health - equipment
nehan falsu,false teeth,health - equipment
pinsa,tweezers,health - equipment
pinset,tweezers,health - equipment
rai xís,X-ray,health - equipment
seringa,syringe,health - equipment
soru2,"(medical) drip,IV,infusion set (Med.)",health - equipment
tensoplás,"bandaid,sticking plaster",health - equipment
termómetru,thermometer,health - equipment
bulak,"crazy,mad,insane",health - other
daet,"infect,spread (of disease)",health - other
dosis,"dose,dosage",health - other
emerjénsia,emergency,health - other
gráfiku,"graph; diagram,chart",health - other
grave,"serious,grave,severe",health - other
kaduak,twins,health - other
kamaan,"light (weight),not serious",health - other
knuuk foun,body. pregnant for the first time,health - other
kondisaun,"condition,state",health - other
kura,"cure,heal (illness)",health - other
liman tuuk,stump of amputated arm; very short arm,health - other
mortalidade,mortality,health - other
normál,normal,health - other
nutrisaun,nutrition,health - other
oan nain,have children,health - other
saudavel,healthy (e.g. environment),health - other
saúde,health,health - other
seksuál,sexual,health - other
sintoma,symptom,health - other
status,status,health - other
tabela,table (of data),health - other
temperatura,temperature,health - other
vida,"life (of humans,animals)",health - other
dentista,dentist,"health - people,profession"
doutór espesialista,specialist doctor,"health - people,profession"
doutór nehan,dentist,"health - people,profession"
doutór(a),"n title. (medical) doctor,physician; doctor (holder of PhD); title for graduates who have senior positions","health - people,profession"
enfermeiru/a,nurse,"health - people,profession"
espesialista,specialist,"health - people,profession"
ema moras,"sick person,patient",health - people
klienti,"client,customer,patient",health - people
pasiente,patient (medical),health - people
banku de sangi,blood bank,health - places
enfermaria,(hospital) ward,health - places
farmásia,"pharmacy,chemist's shop; drug supply room,dispensary",health - places
ICU,"intensive care unit,ICU",health - places
klínika,clinic,health - places
klínika movel,mobile clinic,health - places
ospitál,hospital,health - places
ospitál nasionál,national hospital,health - places
ospitál referál,referral hospital,health - places
sala operasaun,operating theatre,health - places
tetu,"weigh; weigh up,evaluate","health - procedures,building - processes,size"
alta,be discharged (from hospital),health - procedures
anestezia,anaesthesia,health - procedures
autópsia,"autopsy,post-morten",health - procedures
baixa,"hospitalised,be an in-patient,be in hospital",health - procedures
fízioterapia,physiotherapy,health - procedures
foo haan,feed; provide for,health - procedures
foo konsulta,give (a patient) a medical consultation,health - procedures
hanas,apply a hot compress to,health - procedures
imunizasaun,immunisation,health - procedures
KB,family planning,health - procedures
koa,"cut (using sawing motion,or with scissors); harvest (rice); cut (a deck of cards); play (violin)",health - procedures
konsulta,consult (with people),health - procedures
kontrola,"check (e.g. blood pressure,health),check on (e.g. staff)",health - procedures
kurtivu,"clean and dress (a wound),get a wound cleaned and dressed",health - procedures
opera,operate,health - procedures
operasaun,operation,health - procedures
pasa2,cured (of illness),health - procedures
planeamentu familiár,family planning,health - procedures
primeiru sokoru,first aid,health - procedures
P3K,first aid,health - procedures
refere,v-ba. refer,health - procedures
referénsia,reference,health - procedures
sezariana,Caesarian section,health - procedures
solda,"solder,weld,fill (a tooth)",health - procedures
sona,"stab,pierce,prick; give a needle,inject,give an injection",health - procedures
suku1,"sew,stitch up,suture; thatch",health - procedures
sunat,"circumcise,be circumcised",health - procedures
trata2,treat,health - procedures
tratamentu,treatment,health - procedures
ultrasón,ultrasound,health - procedures
maten2,"numb,have pins and needles,deadened (of limbs),paralysed; slow (movement); hairpin (bend); dull (colour)","health - signs and symptoms,colour"
iis kotu,"body. die,breathe one's last","health - signs and symptoms,death"
raan fakar,body. bloodshed,"health - signs and symptoms,death"
liman katar,"body. itching,keen (to do something)","health - signs and symptoms,emotions"
moris,"live,alive; be born; come up,appear; on (of electricity); bright (colour); lively,active","health - signs and symptoms,health - procedures,colour"
nanaal telok,"body. have a speech impediment (e.g. unable to pronounce l/r,t/d)","health - signs and symptoms,speaking"
baboton nurak,body. the fontanel is still soft,"health - signs and symptoms,stages of life"
fitar,scar,"health - signs and symptoms,water and sanitation"
ain aat,"body. crippled,lame",health - signs and symptoms
ain kaleuk,"body. have a deformity of the leg or foot (e.g. twisted,or turned in or out)",health - signs and symptoms
ain naksalak,body. sprained or dislocated ankle or knee,health - signs and symptoms
ain potis,body. elephantiasis,health - signs and symptoms
ain tuuk,body. stump of amputated leg; very short leg,health - signs and symptoms
ain-liman mamar,body. feel physically very weak (e.g. due to hunger or hearing bad news),health - signs and symptoms
aleijadu,"handicapped,disabled,crippled",health - signs and symptoms
alerjia,allergy,health - signs and symptoms
anin tama,"sickness,believed to be brought about by cool air coming into the body; symptoms may include fever,swollen stomach and headache",health - signs and symptoms
aten book moras,body. pneumonia,health - signs and symptoms
bedoko,shiver as a result of fever,health - signs and symptoms
bee doko,shiver as a result of malaria; malaria,health - signs and symptoms
borbulyus,"pimple,acne",health - signs and symptoms
bubu,"swell,swollen",health - signs and symptoms
delek,blind,health - signs and symptoms
diak,,health - signs and symptoms
diaréia,diarrhoea,health - signs and symptoms
drogadu/a,drug addict,health - signs and symptoms
estómagu,"stomach trouble,gastroenteritis",health - signs and symptoms
faak,"mentally slow,of subnormal intelligence,simple",health - signs and symptoms
fisur,"boil (on skin),abscess",health - signs and symptoms
fraku,"weak,faint",health - signs and symptoms
fuan moras,"body. heart disease,cardiac failure",health - signs and symptoms
funsiona,"v. function,work",health - signs and symptoms
gugulai,"dumb (unable to speak),mute",health - signs and symptoms
hakanek,wound,health - signs and symptoms
inus metin,"body. have a blocked nose,have a cold",health - signs and symptoms
isin aat,"body. thin,skinny",health - signs and symptoms
isin baruk,"body. listless,lethargic,feel flat",health - signs and symptoms
isin diak,"body. healthy,well,in good health",health - signs and symptoms
isin fraku,body. frail,health - signs and symptoms
isin katar,body. itchy,health - signs and symptoms
isin malirin,body. feel cold as a result of illness,health - signs and symptoms
isin manas,"body. have a fever,feverish,fevered,have a temperature",health - signs and symptoms
isin manas bedoko,body. shiver as a result of fever,health - signs and symptoms
isin mate,body. paralysed,health - signs and symptoms
isin maten,"body. numb,have pins and needles,deadened,paralysed; slow (movement); exhausted,listless",health - signs and symptoms
isin metan,"body. bruised; dark-skinned,black",health - signs and symptoms
isin morna,body. mild fever,health - signs and symptoms
isin sae,"body. gain weight,put on weight",health - signs and symptoms
isin tuun,body. lose weight,health - signs and symptoms
kabun dulas,body. stomach upset,health - signs and symptoms
kabun moras,"body. have diarrheoa,have a stomach ache",health - signs and symptoms
kaimbra,cramp,health - signs and symptoms
kakorok maran,"body. hoarse,have a dry throat",health - signs and symptoms
kakorok moras,body,health - signs and symptoms
kanek,"wound,sore",health - signs and symptoms
kanotak moras,body,health - signs and symptoms
kaspa,dandruff,health - signs and symptoms
katar,itchy; cause an itch,health - signs and symptoms
kii,"sting,smart",health - signs and symptoms
koma,coma,health - signs and symptoms
kotuk laran moras,"body. have a backache,back pain",health - signs and symptoms
kotuk moras,"body. have a backache,back pain",health - signs and symptoms
kudeik,lame,health - signs and symptoms
lanu,"2 • drunk,tipsy,intoxicated,overdosed,poisoned,carsick",health - signs and symptoms
laran sae,"body. nauseous,queasy",health - signs and symptoms
lian maran,"body. lose one's voice,have laryngitis; hoarse,have a croaky voice",health - signs and symptoms
liman kleuk,body. have a crooked arm,health - signs and symptoms
loro been,"rash,heat rash",health - signs and symptoms
manu maten,epilepsy,health - signs and symptoms
matan aat,body. blind (totally unable to see),health - signs and symptoms
matan delek,body. blind (permanently unable to see from that eye),health - signs and symptoms
matan kleuk,body. cross-eyed,health - signs and symptoms
matan malahuk,"body. have blurred vision,poor vision",health - signs and symptoms
matan mean,"body. inflamed red eyes,conjunctivitis,red eye",health - signs and symptoms
matek,"numb,have pins and needles; have cramp; paralysed",health - signs and symptoms
mear,cough,health - signs and symptoms
mear busa,whooping cough,health - signs and symptoms
mear tasak,,health - signs and symptoms
mii moras,body. bursting to go to the toilet (to urinate),health - signs and symptoms
monok,"dumb (unable to speak),mute",health - signs and symptoms
moras,"sick,ill,sore,hurt",health - signs and symptoms
moras atan,sickly (frequently ill),health - signs and symptoms
nakdedar,"shiver (from cold,not fever); tremble",health - signs and symptoms
naksalak,"sprained,dislocated or twisted (joint)",health - signs and symptoms
nanaal badak,body. speech impediment,health - signs and symptoms
nehan kuak,body. (tooth) cavity,health - signs and symptoms
nehan molik,body. toothless,health - signs and symptoms
nehan monu,body. tooth fell out,health - signs and symptoms
nehan moris,body. teething; have a new tooth,health - signs and symptoms
nehan tohar,body. tooth breaks,health - signs and symptoms
nehan tohik,body. tooth chips,health - signs and symptoms
nehan tubun,body. teething; have a new tooth,health - signs and symptoms
nehan ular,body. tooth decay,health - signs and symptoms
oin halai,"body. dizzy,giddy",health - signs and symptoms
oin kamutis,"body. pale,wan (due to sickness,fatigue)",health - signs and symptoms
oin moos,"body. sober,fully conscious",health - signs and symptoms
oin nakukun,"body. feel faint,see stars; faint,pass out,be semi-conscious (e.g. due to hunger,or standing still in the sun for a long time)",health - signs and symptoms
pontu,a bit crazy,health - signs and symptoms
pús,pus,health - signs and symptoms
raan la iha,body. anaemic,health - signs and symptoms
raan menus,body. anaemic,health - signs and symptoms
