bote  ,"n. woven basket carried on the back by a strap, often around the forehead. ","Category: agriculture - equipment, household."
jurusan  ,"n. 1 • field of study, (academic) department. ",Category: education - other.
kampus  ,n. campus. ,Category: education - other.
kelás  ,"n. class, grade, year (of school). ",Category: education - other.
KKN2  ,n. obligatory social action internship for university students. ,Category: education - other.
klase  ,"n. 1 • class, grade, year (of school). ",Category: education - other.
kuis  ,n. quiz. ,Category: education - other.
kuríkulu  ,n. curriculum. ,Category: education - other.
kursu  ,n. course. ,Category: education - other.
lisaun  ,n. lesson. ,Category: education - other.
lisensiatura  ,n. bachelor's degree (four years). ,Category: education - other.
liu1  ,"vti. past; go past, go by, pass; exceed, surpass. ",Category: education - other.
matríkula  ,"n. enrolment, registration. ",Category: education - other.
mestradu  ,n. master's degree. ,Category: education - other.
nilai  ,"n. mark, grade, score (in exam). ",Category: education - other.
notas  ,"n. mark, grade, score (in exam); result. ",Category: education - other.
peskiza  ,n. research. ,Category: education - other.
peskizadór/a  ,n. researcher. ,Category: education - other.
preprimária  ,n. preschool. ,Category: education - other.
primáriu/a  ,primary. ,Category: education - other.
rekreiu  ,n. morning and afternoon tea break at school. ,Category: education - other.
sekundáriu/a  ,secondary (school). ,Category: education - other.
semester  ,n. semester. ,Category: education - other.
semestre  ,n. semester. ,Category: education - other.
sertifikadu  ,n. certificate. ,Category: education - other.
servisu uma  ,n. homework. ,Category: education - other.
siklu  ,n. cycle (e.g. the three cycles of ensinu áziku9báziku 'basic education'). ,Category: education - other.
S1  ,n. bachelor's degree (four years). ,Category: education - other.
S2  ,n. master's degree. ,Category: education - other.
S3  ,n. PhD. ,Category: education - other.
teze  ,n. thesis (book). ,Category: education - other.
trabalyu da kaza  ,n. homework. ,Category: education - other.
treinamentu  ,n. training. ,Category: education - other.
treinu  ,"n. training, practice. ",Category: education - other.
trimestre  ,"n. quarter, three months, trimester; (school) term. ",Category: education - other.
vistu1  ,n. tick (sign of correctness). ,Category: education - other.
edukadór(a)  ,"n. educator, teacher, lecturer. ","Category: education - people, profession."
eskolante  ,n.  ,"Category: education - people, profession."
mestri/a  ,"n. (male/female) teacher, lecturer, tutor, instructor. ","Category: education - people, profession."
profesór(a)  ,"n. teacher, lecturer. ","Category: education - people, profession."
reitór  ,"n. university head, vice-chancellor (BRIT). ","Category: education - people, profession."
dosenti  ,n. lecturer. ,Category: education - people.
graduadu  ,1 • n. graduate (person receiving a degree at a ceremony). ,Category: education - people.
ekonomia  ,"n. economy, economics. ","Category: education - subject, economics."
komérsiu  ,n. business. ,"Category: education - subject, economics."
biokímika  ,n. biochemistry. ,"Category: education - subject, health - other."
medisina  ,n. (study of) medicine. ,"Category: education - subject, health - other."
mikrobiolojia  ,n. microbiology. ,"Category: education - subject, health - other."
direitus umanus  ,n. human rights. ,"Category: education - subject, law - other."
edukasaun sívika  ,n. civic education. ,"Category: education - subject, politics - other."
alfabetizasaun  ,n. literacy (training). ,Category: education - subject.
antropolojia  ,n. anthropology. ,Category: education - subject.
arte  ,n. art. ,Category: education - subject.
astronomia  ,n. astronomy. ,Category: education - subject.
biolojia  ,n. biology. ,Category: education - subject.
ekolojia  ,n. ecology. ,Category: education - subject.
eletrónika  ,n. electronics. ,Category: education - subject.
enjenyaria  ,n. engineering. ,Category: education - subject.
enjenyaria sivíl  ,n. civil engineering. ,Category: education - subject.
estatístika  ,n. statistics. ,Category: education - subject.
filozofia  ,n. philosophy. ,Category: education - subject.
fízika  ,n. physics. ,Category: education - subject.
informátika  ,"n. information technology, IT, computer science. ",Category: education - subject.
jeografia  ,n. geography. ,Category: education - subject.
jeolojia  ,n. geology. ,Category: education - subject.
kímika  ,n. chemistry. ,Category: education - subject.
letras  ,"n. humanities, arts. ",Category: education - subject.
matemátika  ,n. mathematics. ,Category: education - subject.
psikolojia  ,n. psychology. ,Category: education - subject.
siénsia  ,n. science. ,Category: education - subject.
siénsia polítika  ,n. political science. ,Category: education - subject.
siénsias naturais  ,n. natural sciences. ,Category: education - subject.
siénsias sosiais  ,n. social sciences. ,Category: education - subject.
sosiolojia  ,n. sociology. ,Category: education - subject.
teknolojia  ,n. technology. ,Category: education - subject.
trabalyus manuais  ,n. manual arts. ,Category: education - subject.
bilaan  ,"adj. bewildered, look vacant. ","Category: emotions, health - signs and symptoms, expressions."
senti  ,"vt v-atu. feel; sense; think, suspect. ","Category: emotions, think."
admira  ,"vt. astonished at, amazed at, astounded by. ",Category: emotions.
amór  ,n. love. ,Category: emotions.
baruk  ,"adj. feel lazy, bored, listless, can't be bothered, demotivated, apathetic. ",Category: emotions.
bingun  ,"adj. confused, bewildered, perplexed. ",Category: emotions.
domin  ,n. love. ,Category: emotions.
estima  ,"adj. cherish, show affection. ",Category: emotions.
fuan kii  ,"body. scared, nervous. ",Category: emotions.
fuan tuk-tuku  ,"body. nervous, 'have butterflies'. ",Category: emotions.
gosta  ,"vt v-atu. like, enjoy. ",Category: emotions.
hadomi  ,"1 • vt. love, pity, feel sorry for. ",Category: emotions.
hakarak  ,"1 • vt v-atu. want, desire to, long to, wish. ",Category: emotions.
hakfodak  ,"vi. startled, surprised, shocked. ",Category: emotions.
haksolok  ,"vi. joyful, rejoice, glad, happy. ",Category: emotions.
hirus  ,"1 • vti. angry (at), cross, mad. ",Category: emotions.
kontenti  ,"vi. happy, content, contented, pleased. ",Category: emotions.
ksolok  ,"n. joy, happiness, contentment. ",Category: emotions.
laran dodok  ,body. distressed. ,Category: emotions.
laran hakmatek  ,"body. feel calm, feel at peace. ",Category: emotions.
laran haksolok  ,"body. joyful, rejoice, glad, happy. ",Category: emotions.
laran kii  ,"body. anxious, have a premonition that something bad may have happened to a loved one. ",Category: emotions.
laran kontenti  ,"body. happy, content, contented, pleased. ",Category: emotions.
laran la metin  ,"body. feel uneasy, anxious, apprehensive. ",Category: emotions.
laran malirin  ,body. temper has cooled. ,Category: emotions.
laran manas  ,body. 1 • fit of anger. ,Category: emotions.
laran moras  ,"1 • vi. sad, upset. ",Category: emotions.
laran susar  ,body.  ,Category: emotions.
laran taridu  ,"body. very sad, distressed. ",Category: emotions.
laran todan  ,body.  ,Category: emotions.
laran tristi  ,body. sad. ,Category: emotions.
matan monu  ,"body. fall for, fall in love with. ",Category: emotions.
moe  ,"1 • adj. shy, embarrassed, ashamed. ",Category: emotions.
muroon  ,"adj. listless, sit unmoving with head down (like a sick chicken). ",Category: emotions.
nervozu  ,"adj. irritated, annoyed. ",Category: emotions.
nervus  ,adj vt. angry. ,Category: emotions.
nisik  ,"vi. furious, ""I've had it up to here!"" (pointing at throat). ",Category: emotions.
odi  ,"vt. hate, seek revenge. ",Category: emotions.
ódiu  ,"n. hatred, revenge. ",Category: emotions.
panik  ,v. panic. ,Category: emotions.
preokupasaun  ,"n. concern, worry. ",Category: emotions.
raan nakali  ,body. furious. ,Category: emotions.
satiadu  ,"irritated, annoyed. ",Category: emotions.
sentimentu  ,n. feeling. ,Category: emotions.
stres  ,adj. stressed. ,Category: emotions.
taridu  ,"adj. very sad, distressed. ",Category: emotions.
tauk  ,"vti. afraid, scared, fear. ",Category: emotions.
tristi  ,adj. sad. ,Category: emotions.
ulun malirin  ,body. cool-headed. ,Category: emotions.
vingansa  ,"n. vengeance, revenge. ",Category: emotions.
aluga  ,"vt. rent, hire (from someone). ","Category: exchange, economics."
empresta  ,"vt. borrow, rent (inexpensive items such as videos). ","Category: exchange, economics."
foo aluga  ,"vt-ba. rent out, hire out. ","Category: exchange, economics."
foo empresta  ,"vt. lend, lend out, loan. ","Category: exchange, economics."
hatoo  ,"vt. deliver, pass on (message, greetings, information), express (an opinion). ","Category: exchange, speaking."
pasa1  ,"vt. pass (something to someone, a ball, a test); spend (time). ","Category: exchange, sport."
distribui  ,"vt. distribute, hand out. ",Category: exchange.
distribuisaun  ,n. distribution (esp. of handouts). ,Category: exchange.
entrega  ,"vt. deliver, hand over, hand in, submit. ",Category: exchange.
fahe  ,"vt. distribute, hand out; deal (cards), share; separate, divide. ",Category: exchange.
foo  ,"1 • vt. give, provide, award. ",Category: exchange.
lolo  ,"vt. hand, pass (something to someone, with outstretched arm). ",Category: exchange.
oferese  ,"vt. offer, dedicate. ",Category: exchange.
simu  ,"vt. receive; accept, catch (something being thrown); respond; answer (the telephone), reply. ",Category: exchange.
sosa  ,"vt. buy, purchase. ",Category: exchange.
oin mean  ,"body. blush, flush, go red in the face. ","Category: expressions, body descriptions."
hahaek  ,"vi. laugh loudly all together (traditionally !9hahae!, mainly by women). ",Category: expressions.
hamnasa  ,"vt. laugh, laugh at, smile. ",Category: expressions.
matan fuan lakan  ,body. 1 • stare. ,Category: expressions.
oin boot  ,body. scowl. ,Category: expressions.
oin buis  ,body. look stern. ,Category: expressions.
oin hamnasa  ,body. smile. ,Category: expressions.
oin midar  ,body. smile. ,Category: expressions.
oin moris  ,"body. 1 • flirt, flirtatious, on the lookout for the other sex, on the prowl. ",Category: expressions.
oin suar  ,body. scowl. ,Category: expressions.
oin toos  ,body. look stern. ,Category: expressions.
oin triste  ,body. look sad. ,Category: expressions.
baleia  ,n. whale. ,Category: fish and sea creatures.
boek  ,"n. prawn, shrimp. ",Category: fish and sea creatures.
ikan lele  ,n. catfish. ,Category: fish and sea creatures.
ikan lumba-lumba  ,"dolphin, porpoise. ",Category: fish and sea creatures.
ikan oan  ,n. fingerling. ,Category: fish and sea creatures.
ikan paus  ,n. whale. ,Category: fish and sea creatures.
ikan sardinya  ,n. sardine. ,Category: fish and sea creatures.
kadiuk  ,n. crab. ,Category: fish and sea creatures.
kurita  ,n. octopus. ,Category: fish and sea creatures.
lagosta  ,n. lobster. ,Category: fish and sea creatures.
lumba-lumba  ,"n. dolphin, porpoise. ",Category: fish and sea creatures.
ramiis  ,"n. bivalve, mussle, clam. ",Category: fish and sea creatures.
sardinya  ,n. sardine. ,Category: fish and sea creatures.
sipu  ,n. shellfish. ,Category: fish and sea creatures.
suntu  ,n. squid. ,Category: fish and sea creatures.
tuna  ,n. eel. ,Category: fish and sea creatures.
peskadór  ,n. (commercial) fisherman. ,"Category: fishing - other, profession."
arame  ,"n. wire, (single-pronged) fishing spear. ","Category: fishing - other, tools - types."
dai  ,n. cast-net (for fishing). ,Category: fishing - other.
iska  ,n. bait. ,Category: fishing - other.
kail  ,1 • n. fish hook; fishing line and hook. ,Category: fishing - other.
kail isin  ,n. fish hook. ,Category: fishing - other.
kail talin  ,n. fishing line. ,Category: fishing - other.
nere  ,"n. scoop net, hand net (for fishing). ",Category: fishing - other.
tiha door  ,n. fisherman/fisherwoman. ,Category: fishing - other.
hakail  ,vt. fish with a line. ,Category: fishing - processes.
